id,name,description,prompt,preview_image,is_free,is_active,price,currency,is_archived,archived_at,display_order,usage_count,created_at,updated_at
1,Royal Jaipur Palace - Heritage Elegance,Royal Jaipur Palace - Heritage Elegance,"Upload the basic image of the couple. Do not change their face and body. Generate a hyper-realistic Indian pre-wedding style image of the couple standing in the grand courtyard of a Jaipur heritage palace. The male is dressed in an ivory sherwani with intricate golden embroidery, paired with a matching turban and pearl mala. The female is styled in a regal crimson lehenga with zari detailing, a flowing dupatta draped gracefully across her shoulders. Lighting should mimic golden hour sunlight, soft yet radiant, casting natural highlights on skin texture and creating elongated, warm shadows on the palace walls. The backdrop must include pink sandstone arches, jharokhas, and carved domes that reflect Rajasthan's royal charm. Camera angle: low wide shot, slightly upward to capture the scale of the palace while keeping the couple in central focus. Lens: 35mm f/1.8 for wide but intimate framing with shallow depth of field, blurring architectural details slightly for dreamy effect. Atmosphere: subtle wind gently lifting the dupatta, rose petals scattered across the courtyard. Skin tones must remain natural with realistic texture, soft shine on cheeks, and no artificial smoothing. Post-processing should resemble professional Lightroom editing with warm cinematic grading, subtle vignette for mood, and enhanced golden hues to highlight heritage elegance. The final image must look like it was captured by a Canon EOS R5 with L-series lens, composed with the finesse of a professional wedding photographer.",template_previews\template1.png,TRUE,TRUE,0,INR,FALSE,,1,0,05-12-2025 12:00,05-12-2025 12:00
2,Goa Beachside Sunset - Candid Romance,Goa Beachside Sunset - Candid Romance,"Upload the basic couple image. Do not change their face and body. Generate a cinematic pre-wedding style photo of the couple walking barefoot on the sandy shores of Goa during sunset. The man is styled in a light linen kurta with rolled sleeves, casual yet classy, while the woman wears a flowing pastel peach gown that dances in the sea breeze. Lighting must highlight sunset gradients—orange, pink, and purple tones reflecting off calm ocean waves. Skin textures should appear sun-kissed, glowing naturally under the golden light, with soft shadows sculpting facial features. Backdrop: waves crashing gently, palm trees in the distance, with the horizon glowing in twilight hues. Camera angle: silhouette-inspired mid-shot taken slightly from behind, capturing the couple holding hands as they laugh candidly. Lens: 50mm f/1.4 portrait lens to create smooth bokeh from distant light sources. Atmosphere: dreamy, candid, with wind lifting her gown's fabric. Editing: enhanced warmth, rich color grading for sky tones, and cinematic contrast to make the couple pop against the backdrop. The image must give the vibe of a Vogue India couple feature shoot, with elegance, romance, and natural emotion.",template_previews\template2.png,TRUE,TRUE,0,INR,FALSE,,2,0,05-12-2025 12:00,05-12-2025 12:00
3,Mughal Garden Walk - Vintage Royalty,Mughal Garden Walk - Vintage Royalty,"Upload the basic couple photo. Do not change their face and body. Generate a pre-wedding photo in the symmetrical Mughal Gardens of Delhi. The male wears a pastel ivory sherwani with embroidered cuffs, while the female is in a mint-green lehenga with floral motifs, accessorized with delicate jewelry. Lighting: soft diffused daylight, resembling an overcast sky, for even skin tones and gentle highlights without harsh shadows. Skin texture must appear realistic with subtle matte finish, natural glow around cheeks, and detailed highlights in eyes. Backdrop: manicured hedges, fountains, symmetrical pathways, and vintage Mughal-inspired arches. Camera angle: aerial high perspective shot, showing the couple hand-in-hand walking along the central garden pathway, with symmetry emphasized. Lens: 24mm wide lens for architectural detail and depth. Atmosphere: calm, elegant, timeless. Editing: pastel tones enhanced, slightly desaturated greens, and a soft vignette. The final photo must feel like a royal pre-wedding editorial spread, with balance between natural beauty and regal ambiance.",template_previews\template3.png,TRUE,TRUE,0,INR,FALSE,,3,0,05-12-2025 12:00,05-12-2025 12:00
4,Jaisalmer Desert Dunes - Cinematic Grandeur,Jaisalmer Desert Dunes - Cinematic Grandeur,"Upload the couple image. Do not change their face and body. Generate a pre-wedding style photo in the golden sand dunes of Jaisalmer. The man wears a navy-blue kurta with a contrasting saffron turban, while the woman is styled in a bright yellow lehenga with intricate mirror work. Lighting: harsh desert sunlight softened with cinematic grading, casting dramatic shadows on the sand. Skin textures must remain natural with visible glow, avoiding over-smoothing. Backdrop: endless dunes fading into the horizon, with a decorated camel in the distance for authentic Rajasthani feel. Camera angle: low ground-level wide shot, showing the vast desert while focusing sharply on the couple. Lens: 16-35mm wide-angle lens for grandeur. Atmosphere: cinematic, slightly hazy with dust in the background. Editing: high contrast desert tones, boosted saturation in yellows and blues, dramatic highlights. The photo must look like a professional desert fashion editorial blended with pre-wedding charm.",template_previews\template4.png,TRUE,TRUE,0,INR,FALSE,,4,0,05-12-2025 12:00,05-12-2025 12:00
5,Mumbai Rooftop Lights - Urban Luxury,Mumbai Rooftop Lights - Urban Luxury,"Upload the couple photo. Do not change their face and body. Generate a modern pre-wedding photo on a luxury rooftop lounge in Mumbai overlooking the night skyline. The man is styled in a tailored black tuxedo with bow tie, while the woman dazzles in a silver sequin gown. Lighting: artificial bokeh city lights in background, fairy lights wrapped around railings, with subtle side-lighting on faces for soft glow. Skin: glamorous but realistic with slight gloss on lips and cheekbones. Backdrop: blurred skyscrapers, horizon dotted with lights. Camera angle: close-up mid-shot, over-the-shoulder, capturing their intimate laughter. Lens: 85mm portrait lens for creamy bokeh. Atmosphere: urban romance, modern and stylish. Editing: cinematic teal-orange grading, high-contrast sharpness, slight vignette for intimacy. The photo must appear like a luxury magazine cover shoot.",template_previews\template5.png,TRUE,TRUE,0,INR,FALSE,,5,0,05-12-2025 12:00,05-12-2025 12:00
6,Kerala Backwater Houseboat - Timeless Tradition,Kerala Backwater Houseboat - Timeless Tradition,"Upload the couple photo. Do not change their face and body. Generate a pre-wedding style photo set in the backwaters of Kerala with a traditional houseboat. The male wears a white mundu and simple kurta, while the female is dressed in a Kasavu saree with gold border, jasmine flowers in her hair. Lighting: soft morning sunlight reflecting off water, highlighting natural facial textures. Skin tones must look naturally warm with slight sheen under humid atmosphere. Backdrop: serene coconut trees lining the backwaters, calm reflections in water. Camera angle: side profile shot from canoe, framing the couple sitting together on the houseboat edge. Lens: 70-200mm zoom lens for background compression. Editing: natural tones, vibrant greens, softened reflections for painterly effect. Final photo must resemble a classic National Geographic meets wedding editorial look.",template_previews\template6.png,TRUE,TRUE,0,INR,FALSE,,6,0,05-12-2025 12:00,05-12-2025 12:00
7,Himachal Snow Romance - Winter Fairytale,Himachal Snow Romance - Winter Fairytale,"Upload the couple image. Do not change their face and body. Generate a pre-wedding style photo in a snow-covered Himachal valley. Male in dark wool trench coat, scarf, and gloves, female in velvet red gown with faux fur shawl. Lighting: daylight softened by snowy clouds, creating bluish-cool highlights. Skin: rosy natural cheeks, visible breath mist in cold. Backdrop: snow-draped pine trees, mountain peaks blurred in background. Camera angle: wide shot with couple twirling in snow, flakes mid-air. Lens: 35mm for depth. Editing: cinematic winter grading, slightly desaturated blues, boosted reds for contrast. Final photo must capture candid fairytale romance.",template_previews\template7.png,TRUE,TRUE,0,INR,FALSE,,7,0,05-12-2025 12:00,05-12-2025 12:00
8,Udaipur Lake Palace - Golden Reflection,Udaipur Lake Palace - Golden Reflection,"Upload the couple image. Do not change their face and body. Generate a pre-wedding photo on the lake-facing terrace of Udaipur's Lake Palace. Male wears cream sherwani with stole, female in maroon lehenga with golden embroidery. Lighting: palace lights glowing at dusk, golden reflections shimmering on water. Skin: naturally warm with candlelit glow. Backdrop: palace domes illuminated, diyas floating on lake. Camera angle: romantic back-facing silhouette, couple gazing at palace lights. Lens: 50mm f/1.2 for cinematic bokeh. Editing: enhanced warm tones, HDR richness, dreamy golden aesthetic.",template_previews\template8.png,TRUE,TRUE,0,INR,FALSE,,8,0,05-12-2025 12:00,05-12-2025 12:00
9,Bollywood Glam - Cinematic Drama,Bollywood Glam - Cinematic Drama,"Upload the couple photo. Do not change their face and body. Generate a Bollywood-style film poster pre-wedding shoot. Male in leather jacket, female in shimmering golden gown. Lighting: studio-style dramatic spotlight with neon side glow. Backdrop: cinematic smoke, urban neon signs blurred. Camera angle: low upward shot, exaggerated hero-style composition. Lens: 24-70mm with sharpness. Editing: HDR cinematic grading, subtle film grain, teal-orange balance. Must look like a Bollywood movie promotional poster.",template_previews\template9.png,TRUE,TRUE,0,INR,FALSE,,9,0,05-12-2025 12:00,05-12-2025 12:00
10,Temple Blessings - South Indian Tradition,Temple Blessings - South Indian Tradition,"Upload the couple photo. Do not change their face and body. Generate a pre-wedding image at Meenakshi Temple, Madurai. Male in silk veshti with angavastram, female in red saree with jasmine gajra. Lighting: temple diyas and diffused sunlight through carved pillars. Skin: warm golden glow, natural temple highlights. Backdrop: gopuram visible in soft focus, rangoli on floor. Camera angle: mid-shot of couple folding hands, priest faintly in background. Lens: 85mm for intimacy. Editing: rich warm tones, fine details on saree, jewelry shimmer. The final must look like a traditional cultural wedding editorial.",template_previews\template10.png,TRUE,TRUE,0,INR,FALSE,,10,0,05-12-2025 12:00,05-12-2025 12:00
